Filename | Truth | Image Pred | Radar Pred
File_0 | Cyclist | Car | Car
File_1 | Cyclist | Car | Car
File_2 | Cyclist | Car | Car
File_3 | Cyclist | Car | Car
File_4 | Cyclist | Car | Car
File_5 | Cyclist | Car | Car
File_6 | Cyclist | Car | Car
File_7 | Cyclist | Car | Car
File_8 | Cyclist | Car | Car
File_9 | Cyclist | Car | Car
File_10 | Cyclist | Car | Car
File_11 | Cyclist | Car | Car
File_12 | Cyclist | Car | Car
File_13 | Cyclist | Car | Car
File_14 | Cyclist | Car | Car
File_15 | Cyclist | Car | Car
File_16 | Cyclist | Car | Car
File_17 | Cyclist | Car | Car
File_18 | Cyclist | Car | Car
File_19 | Cyclist | Car | Car
File_20 | Cyclist | Car | Car
File_21 | Cyclist | Car | Car
File_22 | Cyclist | Car | Car
File_23 | Cyclist | Car | Car
File_24 | Cyclist | Car | Car
File_25 | Cyclist | Car | Car
File_26 | Cyclist | Car | Car
File_27 | Cyclist | Car | Car
File_28 | Cyclist | Car | Car
File_29 | Cyclist | Car | Car
File_30 | Cyclist | Car | Car
File_31 | Cyclist | Car | Car
File_32 | Cyclist | Car | Car
File_33 | Cyclist | Car | Car
File_34 | Cyclist | Car | Car
File_35 | Cyclist | Car | Car
File_36 | Cyclist | Car | Car
File_37 | Cyclist | Car | Car
File_38 | Cyclist | Car | Car
File_39 | Cyclist | Car | Car
File_40 | Cyclist | Car | Car
File_41 | Cyclist | Car | Car
File_42 | Cyclist | Car | Car
File_43 | Cyclist | Car | Car
File_44 | Cyclist | Car | Car
File_45 | Cyclist | Car | Car
File_46 | Cyclist | Car | Car
File_47 | Cyclist | Car | Car
File_48 | Cyclist | Car | Car
File_49 | Cyclist | Car | Car
File_50 | Cyclist | Car | Car
File_51 | Cyclist | Car | Car
File_52 | Cyclist | Car | Car
File_53 | Cyclist | Car | Car
File_54 | Cyclist | Car | Car
File_55 | Cyclist | Car | Car
File_56 | Cyclist | Car | Car
File_57 | Cyclist | Car | Car
File_58 | Cyclist | Car | Car
File_59 | Cyclist | Car | Car
File_60 | Cyclist | Car | Car
File_61 | Cyclist | Car | Car
File_62 | Cyclist | Car | Car
File_63 | Cyclist | Car | Car
File_64 | Cyclist | Car | Car
File_65 | Cyclist | Car | Car
File_66 | Cyclist | Car | Car
File_67 | Cyclist | Car | Car
File_68 | Cyclist | Car | Car
File_69 | Cyclist | Car | Car
File_70 | Cyclist | Car | Car
File_71 | Cyclist | Car | Car
File_72 | Cyclist | Car | Car
File_73 | Cyclist | Car | Car
File_74 | Cyclist | Car | Car
File_75 | Cyclist | Car | Car
File_76 | Cyclist | Car | Car
File_77 | Cyclist | Car | Car
File_78 | Cyclist | Car | Car
File_79 | Cyclist | Car | Car
File_80 | Cyclist | Car | Car
File_81 | Cyclist | Car | Car
File_82 | Cyclist | Car | Car
File_83 | Cyclist | Car | Car
File_84 | Cyclist | Car | Car
File_85 | Cyclist | Car | Car
File_86 | Cyclist | Car | Car
File_87 | Cyclist | Car | Car
File_88 | Cyclist | Car | Car
File_89 | Cyclist | Car | Car
File_90 | Cyclist | Car | Car
File_91 | Cyclist | Car | Car
File_92 | Cyclist | Car | Car
File_93 | Cyclist | Car | Car
File_94 | Cyclist | Car | Car
File_95 | Cyclist | Car | Car
File_96 | Cyclist | Car | Car
File_97 | Cyclist | Car | Car
File_98 | Cyclist | Car | Car
File_99 | Cyclist | Car | Car
File_100 | Cyclist | Car | Car
File_101 | Cyclist | Car | Car
File_102 | Cyclist | Car | Car
File_103 | Cyclist | Car | Car
File_104 | Cyclist | Car | Car
File_105 | Cyclist | Car | Car
File_106 | Cyclist | Car | Car
File_107 | Cyclist | Car | Car
File_108 | Cyclist | Car | Car
File_109 | Cyclist | Car | Car
File_110 | Cyclist | Car | Car
File_111 | Cyclist | Car | Car
File_112 | Cyclist | Car | Car
File_113 | Cyclist | Car | Car
File_114 | Cyclist | Car | Car
File_115 | Cyclist | Car | Car
File_116 | Cyclist | Car | Car
File_117 | Cyclist | Car | Car
File_118 | Cyclist | Car | Car
File_119 | Cyclist | Car | Car
File_120 | Cyclist | Car | Car
File_121 | Cyclist | Car | Car
File_122 | Cyclist | Car | Car
File_123 | Cyclist | Car | Car
File_124 | Cyclist | Car | Car
File_125 | Cyclist | Car | Car
File_126 | Cyclist | Car | Car
File_127 | Cyclist | Car | Car
File_128 | Cyclist | Car | Car
File_129 | Cyclist | Car | Car
File_130 | Cyclist | Car | Car
File_131 | Cyclist | Car | Car
File_132 | Cyclist | Car | Car
File_133 | Cyclist | Car | Car
File_134 | Cyclist | Car | Car
File_135 | Cyclist | Car | Car
File_136 | Cyclist | Car | Car
File_137 | Cyclist | Car | Car
File_138 | Cyclist | Car | Car
File_139 | Cyclist | Car | Car
File_140 | Cyclist | Car | Car
File_141 | Cyclist | Car | Car
File_142 | Cyclist | Car | Car
File_143 | Cyclist | Car | Car
File_144 | Cyclist | Car | Car
File_145 | Cyclist | Car | Car
File_146 | Cyclist | Car | Car
File_147 | Cyclist | Car | Car
File_148 | Cyclist | Car | Car
File_149 | Cyclist | Car | Car
File_150 | Cyclist | Car | Car
File_151 | Cyclist | Car | Car
File_152 | Cyclist | Car | Car
File_153 | Cyclist | Car | Car
File_154 | Cyclist | Car | Car
File_155 | Cyclist | Car | Car
File_156 | Cyclist | Car | Car
File_157 | Cyclist | Car | Car
File_158 | Cyclist | Car | Car
File_159 | Cyclist | Car | Car
File_160 | Cyclist | Car | Car
File_161 | Cyclist | Car | Car
File_162 | Cyclist | Car | Car
File_163 | Cyclist | Car | Car
File_164 | Cyclist | Car | Car
File_165 | Cyclist | Car | Car
File_166 | Cyclist | Car | Car
File_167 | Cyclist | Car | Car
File_168 | Cyclist | Car | Car
File_169 | Cyclist | Car | Car
File_170 | Cyclist | Car | Car
File_171 | Cyclist | Car | Car
File_172 | Cyclist | Car | Car
File_173 | Cyclist | Car | Car
File_174 | Cyclist | Car | Car
File_175 | Cyclist | Car | Car
File_176 | Cyclist | Car | Car
File_177 | Cyclist | Car | Car
File_178 | Cyclist | Car | Car
File_179 | Cyclist | Car | Car
File_180 | Cyclist | Car | Car
File_181 | Cyclist | Car | Car
File_182 | Cyclist | Car | Car
File_183 | Cyclist | Car | Car
File_184 | Cyclist | Car | Car
File_185 | Cyclist | Car | Car
File_186 | Cyclist | Car | Car
File_187 | Cyclist | Car | Car
File_188 | Cyclist | Car | Car
File_189 | Cyclist | Car | Car
File_190 | Cyclist | Car | Car
File_191 | Cyclist | Car | Car
File_192 | Cyclist | Car | Car
File_193 | Cyclist | Car | Car
File_194 | Cyclist | Car | Car
File_195 | Cyclist | Car | Car
File_196 | Cyclist | Car | Car
File_197 | Cyclist | Car | Car
File_198 | Cyclist | Car | Car
File_199 | Cyclist | Car | Car
File_200 | Cyclist | Car | Car
File_201 | Cyclist | Car | Car
File_202 | Cyclist | Car | Car
File_203 | Cyclist | Car | Car
File_204 | Cyclist | Car | Car
File_205 | Cyclist | Car | Car
File_206 | Cyclist | Car | Car
File_207 | Cyclist | Car | Car
File_208 | Cyclist | Car | Car
File_209 | Cyclist | Car | Car
File_210 | Cyclist | Car | Car
File_211 | Cyclist | Car | Car
File_212 | Cyclist | Car | Car
File_213 | Cyclist | Car | Car
File_214 | Cyclist | Car | Car
File_215 | Cyclist | Car | Car
File_216 | Cyclist | Car | Car
File_217 | Cyclist | Car | Car
File_218 | Cyclist | Car | Car
File_219 | Cyclist | Car | Car
File_220 | Cyclist | Car | Car
File_221 | Cyclist | Car | Car
File_222 | Cyclist | Car | Car
File_223 | Cyclist | Car | Car
File_224 | Cyclist | Car | Car
File_225 | Cyclist | Car | Car
File_226 | Cyclist | Car | Car
File_227 | Cyclist | Car | Car
File_228 | Cyclist | Car | Car
File_229 | Cyclist | Car | Car
File_230 | Cyclist | Car | Car
File_231 | Cyclist | Car | Car
File_232 | Cyclist | Car | Car
File_233 | Cyclist | Car | Car
File_234 | Cyclist | Car | Car
File_235 | Cyclist | Car | Car
File_236 | Cyclist | Car | Car
File_237 | Cyclist | Car | Car
File_238 | Cyclist | Car | Car
File_239 | Cyclist | Car | Car
File_240 | Cyclist | Car | Car
File_241 | Cyclist | Car | Car
File_242 | Cyclist | Car | Car
File_243 | Cyclist | Car | Car
File_244 | Cyclist | Car | Car
File_245 | Cyclist | Car | Car
File_246 | Cyclist | Car | Car
File_247 | Cyclist | Car | Car
File_248 | Cyclist | Car | Car
File_249 | Cyclist | Car | Car
File_250 | Cyclist | Car | Car
File_251 | Cyclist | Car | Car
File_252 | Cyclist | Car | Car
File_253 | Cyclist | Car | Car
File_254 | Cyclist | Car | Car
File_255 | Cyclist | Car | Car
File_256 | Cyclist | Car | Car
File_257 | Cyclist | Car | Car
File_258 | Cyclist | Car | Car
File_259 | Cyclist | Car | Car
File_260 | Cyclist | Car | Car
File_261 | Cyclist | Car | Car
File_262 | Cyclist | Car | Car
File_263 | Cyclist | Car | Car
File_264 | Cyclist | Car | Car
File_265 | Cyclist | Car | Car
File_266 | Cyclist | Car | Car
File_267 | Cyclist | Car | Car
File_268 | Cyclist | Car | Car
File_269 | Cyclist | Car | Car
File_270 | Cyclist | Car | Car
File_271 | Cyclist | Car | Car
File_272 | Cyclist | Car | Car
File_273 | Cyclist | Car | Car
File_274 | Cyclist | Car | Car
File_275 | Cyclist | Car | Car
File_276 | Cyclist | Car | Car
File_277 | Cyclist | Car | Car
File_278 | Cyclist | Car | Car
File_279 | Cyclist | Car | Car
File_280 | Cyclist | Car | Car
File_281 | Cyclist | Car | Car
File_282 | Cyclist | Car | Car
File_283 | Cyclist | Car | Car
File_284 | Cyclist | Car | Car
File_285 | Cyclist | Car | Car
File_286 | Cyclist | Car | Car
File_287 | Cyclist | Car | Car
File_288 | Cyclist | Car | Car
File_289 | Cyclist | Car | Car
File_290 | Cyclist | Car | Car
File_291 | Cyclist | Car | Car
File_292 | Cyclist | Car | Car
File_293 | Cyclist | Car | Car
File_294 | Cyclist | Car | Car
File_295 | Cyclist | Car | Car
File_296 | Cyclist | Car | Car
File_297 | Cyclist | Car | Car
File_298 | Cyclist | Car | Car
File_299 | Cyclist | Car | Car
File_300 | Cyclist | Car | Car
File_301 | Cyclist | Car | Car
File_302 | Cyclist | Car | Car
File_303 | Cyclist | Car | Car
File_304 | Cyclist | Car | Car
File_305 | Cyclist | Car | Car
File_306 | Cyclist | Car | Car
File_307 | Cyclist | Car | Car
File_308 | Cyclist | Car | Car
File_309 | Cyclist | Car | Car
File_310 | Cyclist | Car | Car
File_311 | Cyclist | Car | Car
File_312 | Cyclist | Car | Car
File_313 | Cyclist | Car | Car
File_314 | Cyclist | Car | Car
File_315 | Cyclist | Car | Car
File_316 | Cyclist | Car | Car
File_317 | Cyclist | Car | Car
File_318 | Cyclist | Car | Car
File_319 | Cyclist | Car | Car
File_320 | Cyclist | Car | Car
File_321 | Cyclist | Car | Car
File_322 | Cyclist | Car | Car
File_323 | Cyclist | Car | Car
File_324 | Cyclist | Car | Car
File_325 | Cyclist | Car | Car
File_326 | Cyclist | Car | Car
File_327 | Cyclist | Car | Car
File_328 | Cyclist | Car | Car
File_329 | Cyclist | Car | Car
File_330 | Cyclist | Car | Car
File_331 | Cyclist | Car | Car
File_332 | Cyclist | Car | Car
File_333 | Cyclist | Car | Car
File_334 | Cyclist | Car | Car
File_335 | Cyclist | Car | Car
File_336 | Cyclist | Car | Car
File_337 | Cyclist | Car | Car
File_338 | Cyclist | Car | Car
File_339 | Cyclist | Car | Car
File_340 | Cyclist | Car | Car
File_341 | Cyclist | Car | Car
File_342 | Cyclist | Car | Car
File_343 | Cyclist | Car | Car
File_344 | Cyclist | Car | Car
File_345 | Cyclist | Car | Car
File_346 | Cyclist | Car | Car
File_347 | Cyclist | Car | Car
File_348 | Cyclist | Car | Car
File_349 | Cyclist | Car | Car
File_350 | Cyclist | Car | Car
File_351 | Cyclist | Car | Car
File_352 | Cyclist | Car | Car
File_353 | Cyclist | Car | Car
File_354 | Cyclist | Car | Car
File_355 | Cyclist | Car | Car
File_356 | Cyclist | Car | Car
File_357 | Cyclist | Car | Car
File_358 | Cyclist | Car | Car
File_359 | Cyclist | Car | Car
File_360 | Cyclist | Car | Car
File_361 | Cyclist | Car | Car
File_362 | Cyclist | Car | Car
File_363 | Cyclist | Car | Car
File_364 | Cyclist | Car | Car
File_365 | Cyclist | Car | Car
File_366 | Cyclist | Car | Car
File_367 | Cyclist | Car | Car
File_368 | Cyclist | Car | Car
File_369 | Cyclist | Car | Car
File_370 | Cyclist | Car | Car
File_371 | Cyclist | Car | Car
File_372 | Cyclist | Car | Car
File_373 | Cyclist | Car | Car
File_374 | Cyclist | Car | Car
File_375 | Cyclist | Car | Car
File_376 | Cyclist | Car | Car
File_377 | Cyclist | Car | Car
File_378 | Cyclist | Car | Car
File_379 | Cyclist | Car | Car
File_380 | Cyclist | Car | Car
