================================================================================
FAILED PREDICTIONS REPORT
================================================================================
Total Failures: 12185

Image Only Failed: 11234
Radar Only Failed: 951
Both Failed: 0

--------------------------------------------------------------------------------
Filename                                 | Truth      | Img Pred   | Rad Pred   | Img Conf   | Rad Conf  
--------------------------------------------------------------------------------
Sample_1253                              | Car        | Car        | Person     | 94.82%     | 52.38%    
Sample_2683                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2684                              | Person     | Cyclist    | Person     | 99.61%     | 100.00%   
Sample_2685                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2686                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2687                              | Person     | Cyclist    | Person     | 99.62%     | 100.00%   
Sample_2688                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2689                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2690                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2691                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2692                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2693                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2694                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2695                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2696                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2697                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2698                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2699                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2700                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2701                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2702                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2703                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2704                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2705                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2706                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2707                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2708                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2709                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2710                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2711                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2712                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2713                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2714                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2715                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2716                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2717                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2718                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2719                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2720                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2721                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2722                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2723                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2724                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2725                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2726                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2727                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2728                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2729                              | Person     | Cyclist    | Person     | 99.70%     | 100.00%   
Sample_2730                              | Person     | Cyclist    | Person     | 99.70%     | 100.00%   
Sample_2731                              | Person     | Cyclist    | Person     | 99.70%     | 100.00%   
Sample_2732                              | Person     | Cyclist    | Person     | 99.70%     | 100.00%   
Sample_2733                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2734                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2735                              | Person     | Cyclist    | Person     | 99.69%     | 100.00%   
Sample_2736                              | Person     | Cyclist    | Person     | 99.68%     | 100.00%   
Sample_2737                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2738                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2739                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2740                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2741                              | Person     | Cyclist    | Person     | 99.67%     | 100.00%   
Sample_2742                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2743                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2744                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2745                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2746                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2747                              | Person     | Cyclist    | Person     | 99.66%     | 100.00%   
Sample_2748                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2749                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2750                              | Person     | Cyclist    | Person     | 99.63%     | 100.00%   
Sample_2751                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2752                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2753                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2754                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2755                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2756                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2757                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2758                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
Sample_2759                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2760                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2761                              | Person     | Cyclist    | Person     | 99.65%     | 100.00%   
Sample_2762                              | Person     | Cyclist    | Person     | 99.64%     | 100.00%   
